Date,Team1,Score1,Team2,Score2
11/6/2018,Cal Poly,87,Academy of Art,65
11/6/2018,Air Force,72,Western St CO,54
11/6/2018,Oregon,115,AK Fairbanks,36
11/6/2018,Arizona St,81,Incarnate Word,43
11/6/2018,Cincinnati,69,Austin Peay,48
11/6/2018,Michigan St,99,Bowling Green,69
11/6/2018,Brown,68,Central Conn,63
11/6/2018,Bryant,58,MA Lowell,57
11/6/2018,Bucknell,70,Monmouth NJ,32
11/6/2018,Charleston So,101,Converse,50
11/6/2018,Colorado,77,N Colorado,69
11/6/2018,Colorado St,72,E New Mexico,46
11/6/2018,Idaho,88,CS Northridge,73
11/6/2018,E Illinois,102,Oakland City,43
11/6/2018,North Carolina,100,Elon,69
11/6/2018,Miami FL,94,Florida Intl,43
11/6/2018,Northern Arizona,86,Fresno St,73
11/6/2018,Georgetown,73,Richmond,53
11/6/2018,Howard,57,La Salle,54
11/6/2018,Lehigh,73,Kutztown,39
11/6/2018,Lamar,79,Louisiana,77
11/6/2018,Manhattan,61,LIU Brooklyn,46
11/6/2018,Louisville,102,WKU,80
11/6/2018,N Dakota St,49,Mayville St,43
11/6/2018,Mississippi St,88,SE Missouri St,53
11/6/2018,Missouri,89,W Illinois,64
11/6/2018,Mt St Mary's,74,Washington MD,50
11/6/2018,St Peter's,70,NJIT,57
11/6/2018,Northwestern,57,WI Green Bay,55
11/6/2018,Youngstown St,69,Robert Morris,59
11/6/2018,Seton Hall,95,Wagner,40
11/6/2018,Tulsa,55,Stetson,54
11/6/2018,USC,73,UC Riverside,55
11/6/2018,VA Commonwealth,72,William & Mary,55
11/6/2018,Auburn,97,Grambling,48
11/6/2018,California,80,Houston,79
11/6/2018,New Orleans,104,Centenary,42
11/6/2018,Yale,80,Colgate,61
11/6/2018,West Virginia,78,Coppin St,37
11/6/2018,Temple,75,Delaware St,61
11/6/2018,TCU,61,Duquesne,48
11/6/2018,George Mason,70,Loyola MD,38
11/6/2018,Pepperdine,65,Hawaii,64
11/6/2018,Marquette,91,S Dakota St,52
11/6/2018,Massachusetts,78,Sacred Heart,61
11/6/2018,Mississippi,60,Norfolk St,42
11/6/2018,St Bonaventure,76,Niagara,48
11/6/2018,North Alabama,74,Vanderbilt,71
11/6/2018,Syracuse,85,North Dakota,49
11/6/2018,Princeton,89,Rider,65
11/6/2018,TN Martin,89,Samford,68
11/6/2018,Virginia Tech,96,SC Upstate,45
11/6/2018,Wake Forest,60,Towson,53
11/6/2018,Utah Valley,63,UC Santa Barbara,54
11/6/2018,Utah St,72,Washington St,61
11/6/2018,Old Dominion,83,Campbell,59
11/6/2018,Coastal Car,77,W Carolina,59
11/6/2018,CS Fullerton,57,Seattle,54
11/6/2018,LSU,66,Sam Houston St,52
11/6/2018,Santa Clara,98,Sonoma St,38
11/6/2018,Gardner Webb,60,Florida,58
11/6/2018,Hofstra,74,Iona,49
11/6/2018,Montana St,64,Carroll MT,48
11/6/2018,Chattanooga,61,Lee TN,55
11/6/2018,CS Bakersfield,76,Wright St,74
11/6/2018,East Carolina,84,MD E Shore,69
11/6/2018,Wofford,81,Ga Southern,65
11/6/2018,UMBC,65,Gettysburg,51
11/6/2018,Rutgers,96,St Francis PA,52
11/6/2018,Lane,70,Alcorn St,58
11/6/2018,Baylor,100,Nicholls St,39
11/6/2018,UNC Wilmington,74,Belmont Abbey,58
11/6/2018,UT San Antonio,78,Concordia TX,51
11/6/2018,IUPUI,101,Purdue Northwest,40
11/6/2018,Loy Marymount,69,UCLA,63
11/6/2018,Florida St,103,Troy,67
11/6/2018,Southern Miss,74,Wm Carey,48
11/6/2018,Binghamton,69,Charleston WV,62
11/6/2018,South Florida,71,Ohio St,47
11/6/2018,New Mexico St,70,Permian Basin,38
11/6/2018,PFW,87,IU Kokomo,50
11/6/2018,S Francisco St,73,San Jose St,66
11/6/2018,Savannah St,155,Wesleyan GA,26
11/6/2018,F Dickinson,97,Rutgers-Newark,51
11/6/2018,Jacksonville St,62,Florida A&M,31
11/6/2018,Lincoln PA,51,Morgan St,46
11/6/2018,St Francis NY,102,Mercy,51
11/6/2018,Southern Univ,71,Millsaps,36
11/6/2018,Louisiana Tech,112,LSU-Alexandria,70
11/6/2018,Oral Roberts,74,Harris-Stowe,46
11/6/2018,TAM C. Christi,78,St Thomas TX,40
11/6/2018,Cent Arkansas,55,Central Bap,34
11/6/2018,Cleveland St,113,Salem WV,81
11/7/2018,Alabama,88,SE Louisiana,40
11/7/2018,Illinois,88,Alabama A&M,60
11/7/2018,Kentucky,87,Alabama St,35
11/7/2018,N Kentucky,73,Ald-Broaddus,32
11/7/2018,NC State,77,Belmont,62
11/7/2018,Idaho St,72,Cal Baptist,57
11/7/2018,Wyoming,80,Chadron St,33
11/7/2018,Furman,71,Coker,42
11/7/2018,Murray St,81,Evansville,53
11/7/2018,Gonzaga,76,Montana,52
11/7/2018,Indiana,68,WI Milwaukee,66
11/7/2018,Jacksonville,73,Webber,39
11/7/2018,South Alabama,75,Spring Hill,57
11/7/2018,Wichita St,76,Ark Pine Bluff,39
11/7/2018,Purdue,80,Ball St,38
11/7/2018,Villanova,59,Hartford,41
11/7/2018,Indiana St,62,Marshall,53
11/7/2018,Utah,74,Nevada,52
11/7/2018,Stanford,71,UC Davis,43
11/7/2018,Drake,83,Nebraska,77
11/7/2018,Georgia St,70,UNC Greensboro,63
11/7/2018,Kansas,67,Missouri KC,55
11/7/2018,IL Chicago,75,Valparaiso,65
11/7/2018,Col Charleston,95,North Greenville,62
11/7/2018,South Dakota,77,Creighton,65
11/7/2018,Hampton,72,FL Atlantic,68
11/7/2018,Radford,61,S Carolina St,31
11/7/2018,Texas A&M,65,Rice,54
11/7/2018,Southern Utah,69,San Diego,59
11/7/2018,UCF,61,Pittsburgh,58
11/7/2018,Davidson,80,Queens NC,47
11/7/2018,Xavier,91,Chicago St,57
11/7/2018,Memphis,68,Jackson St,67
11/7/2018,North Texas,82,Mid-Am Chr,35
11/7/2018,Kennesaw,80,Mid Georgia,70
11/7/2018,Bethune-Cookman,73,Edward Waters,46
11/7/2018,Navy,81,Catholic,36
11/8/2018,Boise St,74,CS Northridge,63
11/8/2018,Bryant,75,Brown,57
11/8/2018,Charlotte,70,UNC Asheville,53
11/8/2018,UMBC,81,Eastern Univ,42
11/8/2018,James Madison,50,G Washington,37
11/8/2018,Utah Valley,86,La Verne,79
11/8/2018,Tulane,62,TX Southern,56
11/8/2018,Wisconsin,76,Winthrop,41
11/8/2018,Boston College,88,Rhode Island,64
11/8/2018,C Michigan,104,Oakland,61
11/8/2018,Washington,83,CS Fullerton,74
11/8/2018,Texas,78,Duquesne,41
11/8/2018,N Illinois,89,Yale,80
11/8/2018,Penn St,74,Providence,72
11/8/2018,W Michigan,69,PFW,61
11/8/2018,Baylor,116,St Francis PA,58
11/8/2018,Samford,71,Rhodes,54
11/8/2018,Clemson,85,Wofford,77
11/8/2018,Southern Univ,89,Wiley,58
11/9/2018,George Mason,78,Air Force,71
11/9/2018,American Univ,68,Tulsa,52
11/9/2018,UAB,80,Appalachian St,61
11/9/2018,Arizona,71,Idaho St,46
11/9/2018,Binghamton,72,Cornell,61
11/9/2018,Northeastern,81,Boston Univ,51
11/9/2018,Butler,72,E Illinois,37
11/9/2018,E Michigan,69,Cleveland St,63
11/9/2018,Dayton,67,Colgate,58
11/9/2018,Northern Iowa,79,Delaware,67
11/9/2018,Quinnipiac,56,Drexel,52
11/9/2018,Fairfield,58,Richmond,40
11/9/2018,S Dakota St,80,FL Gulf Coast,62
11/9/2018,Palm Beach Atl,66,Florida Intl,63
11/9/2018,Fordham,80,Wagner,59
11/9/2018,Grambling,75,McNeese St,51
11/9/2018,Grand Canyon,74,Incarnate Word,63
11/9/2018,Howard,77,NJIT,57
11/9/2018,Iowa,90,Oral Roberts,77
11/9/2018,Iowa St,95,Niagara,35
11/9/2018,Texas Tech,71,Jacksonville St,58
11/9/2018,North Carolina,73,Kent,60
11/9/2018,Weber St,105,La Verne,43
11/9/2018,Youngstown St,74,Loyola-Chicago,63
11/9/2018,MA Lowell,59,St Peter's,57
11/9/2018,Michigan,88,Mt St Mary's,40
11/9/2018,Minnesota,70,New Hampshire,47
11/9/2018,New Mexico,82,Texas St,51
11/9/2018,Portland St,102,Warner Pacific,49
11/9/2018,Rutgers,61,Stony Brook,47
11/9/2018,St Mary's CA,90,Wyoming,84
11/9/2018,Ark Little Rock,69,Louisiana Tech,58
11/9/2018,Cal Baptist,85,Long Beach St,83
11/9/2018,Miami OH,62,Canisius,59
11/9/2018,Maryland,93,Coppin St,36
11/9/2018,Dartmouth,54,Loyola MD,41
11/9/2018,DePaul,73,WI Green Bay,64
11/9/2018,Lafayette,63,F Dickinson,57
11/9/2018,Georgia,67,St Bonaventure,40
11/9/2018,Notre Dame,103,Harvard,58
11/9/2018,San Diego St,58,Hawaii,57
11/9/2018,High Point,80,NC Central,69
11/9/2018,St John's,61,Iona,35
11/9/2018,IUPUI,66,Mississippi,58
11/9/2018,Wake Forest,69,Mercer,54
11/9/2018,Mississippi St,72,Virginia,44
11/9/2018,MTSU,65,Vanderbilt,58
11/9/2018,NE Omaha,96,SC Upstate,69
11/9/2018,Pittsburgh,90,New Orleans,38
11/9/2018,Vermont,54,Rider,49
11/9/2018,San Francisco,85,San Jose St,63
11/9/2018,TN Martin,95,S Illinois,94
11/9/2018,SMU,49,ULM,38
11/9/2018,Wright St,68,UNLV,52
11/9/2018,South Florida,74,Albany NY,37
11/9/2018,Oklahoma St,62,Arkansas St,60
11/9/2018,Army,57,LIU Brooklyn,42
11/9/2018,Campbell,63,W Carolina,37
11/9/2018,Louisville,75,Chattanooga,49
11/9/2018,Denver,92,Missouri KC,75
11/9/2018,St Louis,70,E Kentucky,43
11/9/2018,Morehead St,72,NC A&T,67
11/9/2018,Old Dominion,69,Norfolk St,53
11/9/2018,Northern Arizona,65,Seattle,58
11/9/2018,Oklahoma,90,WKU,83
11/9/2018,Temple,58,St Joseph's PA,52
11/9/2018,Arkansas,98,Northwestern LA,53
11/9/2018,Oregon St,79,Cal Poly,54
11/9/2018,Cincinnati,77,ETSU,64
11/9/2018,Columbia,65,Hofstra,63
11/9/2018,East Carolina,73,Monmouth NJ,67
11/9/2018,Lipscomb,64,Tennessee St,62
11/9/2018,VA Commonwealth,84,Longwood,55
11/9/2018,Creighton,86,N Dakota St,51
11/9/2018,CS Bakersfield,56,UC Santa Barbara,48
11/9/2018,Georgetown,74,MD E Shore,55
11/9/2018,Auburn,80,Nicholls St,59
11/9/2018,Miami FL,81,SF Austin,60
11/9/2018,Florida St,74,North Florida,53
11/9/2018,BYU,72,UC Riverside,70
11/9/2018,Hartford,80,Morgan St,59
11/9/2018,Houston,95,Georgia Tech,89
11/9/2018,Marquette,100,Montana St,52
11/9/2018,Austin Peay,100,Chr Brothers,62
11/9/2018,Ohio St,55,Detroit,41
11/9/2018,Bethune-Cookman,81,Liberty,76
11/9/2018,Utah St,106,N New Mexico,35
11/9/2018,Gardner Webb,100,Warren Wilson,37
11/9/2018,Abilene Chr,90,Univ of Southwest,47
11/10/2018,UTEP,77,Alcorn St,51
11/10/2018,Bradley,85,SE Missouri St,79
11/10/2018,Lehigh,88,Central Conn,62
11/10/2018,Drake,98,W Illinois,71
11/10/2018,Lamar,100,McMurry,37
11/10/2018,Maine,73,Toledo,59
11/10/2018,Murray St,113,Oakland City,55
11/10/2018,Portland,65,Utah Valley,60
11/10/2018,UTRGV,82,TX Lutheran,38
11/10/2018,UMBC,72,UT San Antonio,58
11/10/2018,Wichita St,63,Missouri St,60
11/10/2018,Santa Clara,56,Nevada,48
11/10/2018,Oregon,75,Syracuse,73
11/10/2018,Penn,58,Siena,51
11/10/2018,Boise St,91,Southern Oregon,46
11/10/2018,Col Charleston,75,S Carolina St,51
11/10/2018,Georgia St,75,FL Atlantic,59
11/10/2018,Virginia Tech,78,Ga Southern,49
11/10/2018,North Alabama,98,Lane,57
11/10/2018,Seton Hall,102,Kennesaw,80
11/10/2018,St Francis NY,73,Manhattan,65
11/10/2018,Evansville,67,Chicago St,58
11/10/2018,UT Arlington,99,Jackson St,63
11/10/2018,Cent Arkansas,72,Hendrix,40
11/11/2018,Ball St,67,Cleveland St,62
11/11/2018,Boston College,89,St Peter's,57
11/11/2018,Bucknell,75,Quinnipiac,58
11/11/2018,CS Sacramento,88,Cal Poly,85
11/11/2018,Davidson,72,Charleston So,34
11/11/2018,Charlotte,85,Wofford,63
11/11/2018,Dartmouth,66,Vermont,42
11/11/2018,Maryland,82,Dayton,71
11/11/2018,Northeastern,58,Fordham,54
11/11/2018,MTSU,78,Furman,71
11/11/2018,Morehead St,84,Gardner Webb,69
11/11/2018,Georgia,85,Winthrop,39
11/11/2018,G Washington,64,Princeton,49
11/11/2018,Houston Bap,92,McMurry,41
11/11/2018,Stanford,115,Idaho,71
11/11/2018,SIUE,68,Illinois St,61
11/11/2018,South Dakota,96,Incarnate Word,43
11/11/2018,NC State,78,Kent,61
11/11/2018,Robert Morris,67,La Salle,39
11/11/2018,Towson,78,Massachusetts,53
11/11/2018,Louisiana,70,McNeese St,59
11/11/2018,N Dakota St,56,New Hampshire,51
11/11/2018,West Virginia,95,NJIT,50
11/11/2018,Washington,81,Northern Arizona,59
11/11/2018,Ohio,95,UNC Wilmington,72
11/11/2018,Oklahoma St,76,UC Riverside,51
11/11/2018,Seton Hall,84,UT San Antonio,53
11/11/2018,St Mary's CA,70,Washington St,64
11/11/2018,Xavier,70,Tennessee Tech,60
11/11/2018,Denver,92,Air Force,66
11/11/2018,South Carolina,94,Alabama St,38
11/11/2018,Baylor,65,Arizona St,59
11/11/2018,Lafayette,59,Binghamton,50
11/11/2018,California,75,Penn St,58
11/11/2018,Southern Miss,68,Grambling,47
11/11/2018,Purdue,66,Harvard,65
11/11/2018,Indiana,59,Oakland,32
11/11/2018,USC,86,Long Beach St,50
11/11/2018,Pacific,83,UC Davis,80
11/11/2018,Portland St,80,San Jose St,51
11/11/2018,Wake Forest,62,Richmond,48
11/11/2018,Texas Tech,86,ULM,42
11/11/2018,Drexel,51,St Joseph's PA,34
11/11/2018,Gonzaga,63,E Washington,51
11/11/2018,Holy Cross,71,Rider,61
11/11/2018,UMBC,57,Kennesaw,53
11/11/2018,Kentucky,91,Southern Univ,41
11/11/2018,LSU,62,N Colorado,57
11/11/2018,Nebraska,87,SC Upstate,64
11/11/2018,Tennessee,97,Presbyterian,49
11/11/2018,Northwestern,84,Duke,58
11/11/2018,Michigan St,75,ETSU,53
11/11/2018,North Dakota,62,Valparaiso,56
11/11/2018,Buffalo,69,MD E Shore,63
11/11/2018,San Diego,58,Hawaii,50
11/11/2018,Texas A&M,73,Jacksonville,53
11/11/2018,UCLA,59,Rice,50
11/11/2018,Connecticut,85,Ohio St,53
11/11/2018,New Mexico St,66,W Michigan,54
11/11/2018,Clemson,68,Lipscomb,26
11/11/2018,Georgia Tech,71,Appalachian St,53
11/11/2018,UNC Greensboro,92,Pfeiffer,23
11/11/2018,Marist,72,Navy,48
11/11/2018,Florida St,63,Florida,56
11/11/2018,TCU,96,MS Valley St,47
11/11/2018,Miami FL,75,Hartford,62
11/11/2018,Marquette,102,Northern Iowa,61
11/11/2018,Iowa St,70,N Illinois,60
11/11/2018,TX Southern,83,Paul Quinn,54
11/11/2018,Auburn,79,New Mexico,76
11/12/2018,Belmont,78,Tulsa,53
11/12/2018,Boston Univ,72,Brown,51
11/12/2018,S Dakota St,80,C Michigan,71
11/12/2018,Loyola-Chicago,52,Detroit,43
11/12/2018,William & Mary,88,Howard,75
11/12/2018,Kansas St,61,NE Omaha,46
11/12/2018,W Illinois,136,MacMurray,39
11/12/2018,Portland,89,Weber St,73
11/12/2018,Troy,72,Samford,52
11/12/2018,TAM C. Christi,59,UTRGV,49
11/12/2018,Vanderbilt,99,Austin Peay,70
11/12/2018,Duquesne,73,Mt St Mary's,64
11/12/2018,Texas,64,North Texas,54
11/12/2018,Notre Dame,75,Penn,55
11/12/2018,Cornell,48,Albany NY,34
11/12/2018,Columbia,70,Army,49
11/12/2018,Old Dominion,76,Cincinnati,72
11/12/2018,Georgia St,67,Florida Intl,61
11/12/2018,W Carolina,63,Young Harris,54
11/12/2018,Arkansas St,77,Memphis,66
11/12/2018,Mercer,79,Ga Southern,72
11/12/2018,Lamar,94,Louisiana Col,43
11/12/2018,SMU,62,MS Valley St,47
11/12/2018,FL Gulf Coast,99,FL Memorial,68
11/12/2018,PFW,84,Taylor IN,74
11/12/2018,Northwestern LA,100,Le Tourneau,40
11/12/2018,SE Louisiana,70,Mobile,57
11/12/2018,Savannah St,101,Carver Bib,49
11/12/2018,E Illinois,97,Lincoln Chr,34
11/13/2018,Utah,72,Alabama,62
11/13/2018,Maine,74,Bryant,57
11/13/2018,Butler,86,Murray St,65
11/13/2018,Wyoming,98,Col Springs,37
11/13/2018,Fairfield,71,LIU Brooklyn,43
11/13/2018,Gonzaga,70,Idaho St,51
11/13/2018,Iowa,104,WKU,67
11/13/2018,Kansas,70,Oral Roberts,58
11/13/2018,Lehigh,63,Monmouth NJ,48
11/13/2018,Youngstown St,64,Pittsburgh,55
11/13/2018,Wisconsin,68,WI Milwaukee,57
11/13/2018,Loy Marymount,66,Arizona,64
11/13/2018,Bowling Green,99,Marshall,76
11/13/2018,CS Fullerton,79,Cal Baptist,65
11/13/2018,St Bonaventure,100,Canisius,94
11/13/2018,Rutgers,73,Central Conn,44
11/13/2018,James Madison,103,Delaware St,57
11/13/2018,Miami OH,60,E Kentucky,44
11/13/2018,IUPUI,73,TN Martin,72
11/13/2018,Rhode Island,46,Robert Morris,41
11/13/2018,Sacred Heart,72,Siena,50
11/13/2018,Santa Clara,60,San Diego St,43
11/13/2018,Akron,49,NC A&T,36
11/13/2018,Indiana St,60,St Louis,56
11/13/2018,Alabama A&M,67,Tennessee St,57
11/13/2018,Stony Brook,77,Hofstra,49
11/13/2018,Missouri,65,Missouri St,61
11/13/2018,UC Irvine,57,UNLV,55
11/13/2018,Coastal Car,57,S Carolina St,44
11/13/2018,Elon,83,NC Central,54
11/13/2018,MA Lowell,79,Fisher,45
11/13/2018,Virginia Tech,72,Liberty,61
11/13/2018,California,70,BYU,52
11/13/2018,Georgetown,45,Loyola MD,30
11/13/2018,Norfolk St,93,Cheyney St,40
11/13/2018,Jackson St,65,Cent Arkansas,56
11/13/2018,SC Upstate,69,Converse,51
11/13/2018,Iowa St,67,Auburn,64
11/13/2018,North Florida,99,Trinity Bap,40
11/13/2018,North Alabama,70,Blue Mtn,42
11/14/2018,American Univ,86,George Mason,71
11/14/2018,Buffalo,88,Niagara,61
11/14/2018,Fresno St,76,Cal Poly,58
11/14/2018,Gardner Webb,54,Davidson,49
11/14/2018,SIUE,54,Evansville,45
11/14/2018,Maryland,69,G Washington,30
11/14/2018,Harvard,88,La Salle,43
11/14/2018,High Point,86,Mars Hill,36
11/14/2018,Houston Bap,81,Texas A&M Intl,48
11/14/2018,Toledo,84,Iona,38
11/14/2018,Minnesota,78,Xavier,53
11/14/2018,North Carolina,59,VA Commonwealth,47
11/14/2018,Seton Hall,70,Princeton,66
11/14/2018,S Illinois,60,SE Missouri St,40
11/14/2018,Tennessee,73,UNC Asheville,46
11/14/2018,UT San Antonio,61,UTRGV,58
11/14/2018,UMBC,57,Coppin St,52
11/14/2018,Penn St,72,Fordham,55
11/14/2018,Louisiana Tech,100,Houston,88
11/14/2018,Illinois St,67,North Dakota,55
11/14/2018,Mississippi,62,Temple,55
11/14/2018,Winthrop,66,NC Central,41
11/14/2018,Oregon,88,Utah St,58
11/14/2018,South Alabama,77,Southern Miss,68
11/14/2018,Kennesaw,74,Furman,63
11/14/2018,UNC Wilmington,63,Presbyterian,48
11/14/2018,Wichita St,63,Sam Houston St,55
11/14/2018,Arkansas,66,UT Arlington,65
11/14/2018,Oregon St,89,Ark Pine Bluff,33
11/14/2018,East Carolina,59,Grand Canyon,47
11/14/2018,Illinois,73,Valparaiso,54
11/14/2018,Wagner,86,Longwood,60
11/14/2018,Ark Little Rock,61,FL Atlantic,38
11/14/2018,Colorado,59,Colorado St,40
11/14/2018,UTEP,53,CS Bakersfield,47
11/14/2018,Richmond,57,MD E Shore,55
11/14/2018,E Washington,66,Eastern Oregon,45
11/14/2018,UCLA,80,Georgia,69
11/14/2018,Albany NY,60,Manhattan,54
11/14/2018,UCF,78,Stetson,55
11/14/2018,Syracuse,75,Texas A&M,65
11/14/2018,Georgia Tech,84,W Carolina,49
11/14/2018,Dillard,72,Louisiana,69
11/14/2018,Austin Peay,90,Trevecca Naz,78
11/15/2018,Abilene Chr,98,Howard Payne,43
11/15/2018,Alabama,62,SMU,61
11/15/2018,Samford,60,Alabama St,51
11/15/2018,SE Louisiana,77,Alcorn St,59
11/15/2018,Belmont,79,Wright St,63
11/15/2018,South Florida,88,Bethune-Cookman,39
11/15/2018,Ohio,86,Binghamton,49
11/15/2018,Brown,76,New Hampshire,70
11/15/2018,West Virginia,94,Bryant,48
11/15/2018,Drexel,64,Bucknell,42
11/15/2018,Campbell,66,Col Charleston,65
11/15/2018,Cleveland St,79,Lake Erie,49
11/15/2018,Drake,76,South Dakota,64
11/15/2018,Northwestern,87,IL Chicago,44
11/15/2018,Texas,96,McNeese St,40
11/15/2018,Michigan,79,W Michigan,42
11/15/2018,Vermont,78,Norwich,28
11/15/2018,Oklahoma St,70,Prairie View,50
11/15/2018,Stanford,96,San Francisco,62
11/15/2018,UC Riverside,56,Southern Utah,50
11/15/2018,Appalachian St,68,UNC Greensboro,65
11/15/2018,San Diego St,83,CS Fullerton,72
11/15/2018,Kentucky,63,Virginia,51
11/15/2018,NC State,74,Vanderbilt,54
11/15/2018,Quinnipiac,48,Providence,44
11/15/2018,Purdue,81,W Illinois,60
11/15/2018,USC,82,UC Santa Barbara,39
11/15/2018,E Illinois,72,PFW,63
11/15/2018,Baylor,94,Southern Univ,49
11/15/2018,Boston College,89,Holy Cross,63
11/15/2018,Duke,66,Maine,63
11/15/2018,Tulane,56,LSU,54
11/15/2018,Oklahoma,93,Northwestern LA,56
11/15/2018,Penn,65,St Joseph's PA,45
11/15/2018,Lipscomb,62,Alabama A&M,58
11/15/2018,Radford,79,ETSU,64
11/15/2018,Mercer,92,Florida,82
11/15/2018,UAB,85,Memphis,54
11/15/2018,S Dakota St,74,Creighton,48
11/15/2018,South Carolina,69,Clemson,57
11/15/2018,Florida St,79,Jacksonville,46
11/15/2018,Mississippi St,104,Lamar,53
11/15/2018,Ga Southern,82,Savannah St,71
11/15/2018,Miami FL,63,Marquette,55
11/15/2018,ULM,93,LSU-Alexandria,62
11/16/2018,Air Force,85,F Dickinson,37
11/16/2018,Boise St,93,Northwest Chr,26
11/16/2018,Marist,68,Boston Univ,57
11/16/2018,Pittsburgh,65,Cincinnati,48
11/16/2018,WI Milwaukee,78,Columbia,65
11/16/2018,CS Northridge,64,NE Omaha,52
11/16/2018,FL Gulf Coast,100,Florida Intl,58
11/16/2018,James Madison,69,Georgetown,57
11/16/2018,Portland,72,Hawaii,65
11/16/2018,WI Green Bay,56,Missouri,49
11/16/2018,Virginia Tech,82,Monmouth NJ,49
11/16/2018,Tennessee Tech,68,MTSU,64
11/16/2018,N Colorado,74,Denver,66
11/16/2018,Miami OH,78,Detroit,59
11/16/2018,Harvard,73,Siena,54
11/16/2018,Houston,79,Incarnate Word,60
11/16/2018,Kansas St,60,North Texas,42
11/16/2018,Villanova,70,Lehigh,48
11/16/2018,Utah,82,Long Beach St,59
11/16/2018,Portland St,65,UC Davis,50
11/16/2018,Arizona,84,Seattle,54
11/16/2018,St John's,60,Army,49
11/16/2018,Chattanooga,58,Hampton,50
11/16/2018,NC A&T,60,W Salem St,56
11/16/2018,Washington St,87,Nebraska,84
11/16/2018,Presbyterian,61,Wofford,50
11/16/2018,Morehead St,68,Valparaiso,62
11/16/2018,Troy,92,Tennessee St,67
11/16/2018,S Carolina St,67,Charleston So,58
11/16/2018,St Francis NY,110,Chicago St,73
11/16/2018,UMBC,81,Notre Dame MD,43
11/16/2018,North Florida,64,Florida A&M,53
11/16/2018,Montana St,69,Delaware,60
11/16/2018,SF Austin,69,Morgan St,42
11/16/2018,Yale,67,Niagara,64
11/16/2018,Texas St,72,Nicholls St,67
11/16/2018,Youngstown St,90,Carlow,31
11/17/2018,Abilene Chr,78,E New Mexico,46
11/17/2018,Appalachian St,81,Davidson,78
11/17/2018,Missouri St,74,Ball St,54
11/17/2018,Bowling Green,61,Robert Morris,60
11/17/2018,Butler,92,W Illinois,51
11/17/2018,Northern Arizona,91,Cal Baptist,88
11/17/2018,UTRGV,57,Canisius,53
11/17/2018,South Alabama,58,Cent Arkansas,50
11/17/2018,Massachusetts,74,Central Conn,59
11/17/2018,C Michigan,108,WKU,90
11/17/2018,Cornell,63,MA Lowell,54
11/17/2018,Northeastern,84,Dayton,79
11/17/2018,E Michigan,50,Illinois St,41
11/17/2018,Xavier,48,Fairfield,35
11/17/2018,UNC Wilmington,77,Grand Canyon,55
11/17/2018,Idaho,88,Texas Tech,77
11/17/2018,Loyola-Chicago,75,IL Chicago,60
11/17/2018,Kent,62,N Kentucky,61
11/17/2018,Towson,92,La Salle,68
11/17/2018,St Peter's,86,LIU Brooklyn,59
11/17/2018,Stony Brook,79,Manhattan,48
11/17/2018,Wisconsin,64,N Dakota St,53
11/17/2018,Newberry,67,Winthrop,63
11/17/2018,Penn,85,NJIT,42
11/17/2018,North Alabama,99,Stillman,43
11/17/2018,Tulsa,76,Oral Roberts,68
11/17/2018,Akron,85,Oakland,65
11/17/2018,Rice,79,Ark Little Rock,65
11/17/2018,Delaware St,65,Post,53
11/17/2018,Furman,78,SC Upstate,67
11/17/2018,Gonzaga,70,UNLV,59
11/17/2018,Wichita St,68,Houston Bap,50
11/17/2018,Iowa,106,NC Central,39
11/17/2018,Lafayette,66,Wagner,43
11/17/2018,William & Mary,65,Loyola MD,49
11/17/2018,S Illinois,58,Marshall,49
11/17/2018,Rider,85,Mt St Mary's,67
11/17/2018,USC,77,Santa Clara,46
11/17/2018,TN Martin,97,Arkansas St,91
11/17/2018,UNC Asheville,74,W Carolina,49
11/17/2018,Hofstra,67,St Bonaventure,59
11/17/2018,Jacksonville St,58,Lipscomb,46
11/17/2018,Oregon St,89,St Mary's CA,56
11/17/2018,Minnesota,53,San Diego,48
11/17/2018,Utah Valley,90,Ottawa AZ,61
11/17/2018,Notre Dame,101,DePaul,77
11/17/2018,New Mexico St,69,UTEP,65
11/17/2018,BYU,80,E Washington,65
11/17/2018,Morehead St,104,Chicago St,68
11/17/2018,Connecticut,80,Vanderbilt,42
11/17/2018,Valparaiso,78,St Francis NY,76
11/17/2018,MD E Shore,88,Cheyney St,39
11/17/2018,Liberty,82,St Francis PA,53
11/17/2018,Niagara,67,Morgan St,57
11/17/2018,SF Austin,67,Yale,57
11/17/2018,New Orleans,93,Trinity Bap,38
11/17/2018,Delaware,71,Nicholls St,56
11/17/2018,Montana St,67,Texas St,59
11/18/2018,Kansas,65,Alabama A&M,54
11/18/2018,Arizona,92,Portland,70
11/18/2018,Binghamton,73,Caldwell,54
11/18/2018,Bradley,83,Rockhurst,40
11/18/2018,Oregon,102,Buffalo,82
11/18/2018,San Francisco,65,Cal Poly,62
11/18/2018,Fordham,71,Charlotte,64
11/18/2018,Wofford,78,Col Charleston,58
11/18/2018,George Mason,64,Colgate,61
11/18/2018,Colorado,86,North Carolina,74
11/18/2018,Illinois,76,Columbia,69
11/18/2018,Drake,73,CS Northridge,63
11/18/2018,Ohio,100,E Kentucky,60
11/18/2018,Iona,52,G Washington,43
11/18/2018,Kentucky,71,High Point,49
11/18/2018,Marist,74,Temple,68
11/18/2018,Michigan St,84,Wright St,68
11/18/2018,NC State,75,Radford,58
